p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
14.320,69.549,824.857,3.855,0.746,1.7079
14.424,70.064,836.661,3.935,0.747,1.7312
14.615,70.526,848.361,3.960,0.712,1.7202
14.750,70.330,848.665,4.034,0.700,1.7278
14.970,69.442,846.257,4.050,0.640,1.7579
14.936,69.260,839.067,4.086,0.648,1.7557
14.998,67.939,826.888,3.937,0.576,1.7241
15.066,67.581,803.745,3.868,0.576,1.7437
14.725,67.192,790.249,3.761,0.600,1.7058
14.633,66.327,793.572,3.549,0.578,1.6966
14.502,65.592,811.673,3.624,0.599,1.6797
14.545,66.188,809.768,3.443,0.624,1.6658
14.341,66.626,826.871,3.432,0.703,1.6290
14.032,65.892,849.658,3.635,0.686,1.6190
13.775,66.417,843.955,3.582,0.760,1.5961
13.787,67.550,842.542,3.881,0.770,1.6029
13.731,66.999,830.156,3.927,0.732,1.6052
13.874,67.356,826.951,3.994,0.750,1.6061
13.593,68.080,821.999,4.246,0.692,1.6165
13.953,69.877,793.788,4.160,0.686,1.6060
13.927,70.273,789.000,4.083,0.640,1.6556
13.875,70.535,805.111,4.132,0.640,1.6768
14.014,69.739,806.714,3.902,0.604,1.6994
14.219,70.864,814.056,3.846,0.577,1.6997
