p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
11.85,73.81,637.30,2.335,0.363,0.6112
11.85,73.91,641.08,2.348,0.374,0.6186
11.89,74.09,641.40,2.339,0.375,0.6193
11.91,74.12,640.72,2.374,0.376,0.6246
11.94,74.24,642.63,2.368,0.386,0.6273
11.95,74.31,640.95,2.390,0.396,0.6336
12.00,74.28,643.12,2.423,0.399,0.6358
12.02,74.41,641.15,2.454,0.406,0.6394
12.02,74.47,640.47,,0.409,0.6386
12.04,74.43,638.38,2.457,0.406,0.6424
12.08,74.54,640.02,2.471,0.398,0.6418
12.08,74.64,725.31,2.454,0.402,0.6463
12.08,74.74,800.96,2.480,0.404,0.6496
12.10,74.79,872.18,2.490,0.406,0.7521
12.13,74.82,935.67,2.468,0.401,0.8490
12.13,74.95,991.14,3.724,0.394,0.9363
12.18,74.97,1043.66,4.908,0.394,1.0229
12.22,74.96,1089.07,6.005,0.391,1.1013
12.21,74.97,1130.50,6.990,0.390,1.1769
12.25,75.11,1166.08,7.908,0.388,1.2415
12.25,75.14,1199.10,8.755,0.385,1.3045
12.27,75.09,1229.90,9.530,0.379,1.3608
12.30,75.21,1256.68,10.205,0.371,1.4130
12.29,75.15,1282.26,10.856,0.361,1.4593
12.31,75.02,1302.26,11.419,0.355,1.5033
12.33,74.90,1319.39,11.929,0.352,1.5439
12.31,74.99,1338.19,12.430,0.348,1.5841
12.33,74.95,1355.77,12.864,0.673,1.6234
12.33,75.00,1370.04,13.275,1.516,1.6554
12.31,74.87,1380.95,13.640,2.676,1.6874
12.32,74.96,1394.45,13.992,3.952,1.7151
12.32,74.90,1405.37,14.289,5.122,1.7373
12.31,74.77,1413.71,14.570,5.981,1.7589
12.30,74.72,1423.51,14.813,6.304,1.7803
12.30,74.67,1430.19,15.038,6.301,1.8028
12.28,74.62,1436.56,15.285,6.302,1.8235
12.27,74.64,1443.02,15.484,6.299,1.8427
12.24,74.55,1447.09,15.658,6.293,1.8603
12.24,74.56,1451.41,15.835,6.084,1.8767
12.21,74.55,1455.59,15.994,5.535,1.8882
12.18,74.61,1458.82,16.135,4.747,1.8978
12.16,74.44,1460.95,16.294,3.809,1.9066
12.15,74.34,1461.84,16.410,2.819,1.9170
12.12,74.25,1462.73,16.524,1.881,1.9260
12.08,74.09,1466.28,16.643,1.088,1.9396
12.04,74.01,1467.60,16.769,0.544,1.9527
12.00,73.96,1469.56,16.883,0.338,1.9645
12.00,74.01,1470.83,,0.342,1.9756
12.00,73.97,1474.66,17.065,0.349,1.9832
11.97,74.00,1474.34,17.154,0.350,1.9916
11.96,73.86,1474.93,17.244,0.357,1.9943
11.92,73.84,1476.66,17.289,0.367,1.9988
11.90,73.78,1480.43,17.382,0.375,2.0061
11.86,73.81,1483.06,17.452,0.374,2.0107
11.81,73.68,1483.62,17.532,0.377,2.0161
11.81,73.56,1486.06,17.598,0.376,2.0213
11.80,73.49,1487.45,17.676,0.387,2.0309
11.79,73.47,1487.44,17.738,0.397,2.0369
11.74,73.26,1488.06,17.803,0.405,2.0429
11.73,73.22,1489.12,17.837,0.402,2.0464
11.70,73.08,1493.20,17.887,0.410,2.0519
11.66,72.99,1495.23,17.924,0.417,2.0606
11.63,72.97,1497.75,17.993,0.419,2.0683
11.62,72.84,1499.61,18.027,0.419,2.0701
11.60,72.77,1502.55,18.083,0.423,2.0737
11.60,72.65,1502.35,18.101,0.428,2.0789
11.55,72.54,1503.03,18.157,0.419,2.0811
11.52,72.46,1503.77,18.207,0.418,2.0833
11.52,72.46,1505.28,18.230,0.409,2.0852
11.49,72.44,1509.58,18.277,0.404,2.0879
11.46,72.43,1512.87,18.294,0.398,2.0962
11.43,72.33,1513.59,18.339,0.390,2.1037
