p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
14.433,60.753,836.270,4.116,0.726,1.6912
14.820,60.740,845.961,4.351,0.708,1.6948
14.990,60.854,855.093,4.420,0.694,1.7318
15.072,59.424,852.332,4.479,0.694,1.7210
15.055,60.342,854.852,4.674,0.632,1.7318
15.041,58.541,841.850,4.495,0.613,1.7271
15.247,58.545,828.947,4.419,0.601,1.7141
15.118,57.618,811.899,4.349,0.560,1.6923
15.227,57.667,812.317,4.241,0.591,1.6762
14.807,56.510,802.529,3.965,0.566,1.6644
14.965,57.259,810.218,3.983,0.629,1.6707
14.783,57.202,834.503,3.759,0.617,1.6421
14.632,56.665,837.860,3.897,0.671,1.6080
14.366,57.383,844.257,3.909,0.675,1.6020
14.211,57.274,863.197,4.100,0.727,1.5778
14.227,57.348,850.313,4.237,0.736,1.5602
14.015,58.224,846.271,4.333,0.700,1.5879
13.805,59.160,843.090,4.402,0.702,1.5818
13.974,59.653,823.792,4.489,0.653,1.5956
14.236,59.166,821.629,4.528,0.658,1.6030
14.205,60.752,817.662,4.479,0.612,1.6188
14.164,59.883,812.193,4.464,0.614,1.6221
14.280,60.810,810.652,4.405,0.571,1.6476
14.428,61.541,828.676,4.156,0.575,1.6640
