p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
12.867,73.674,819.975,4.178,0.814,1.7096
13.109,73.309,841.734,4.324,0.769,1.7457
13.085,73.240,848.029,4.320,0.758,1.7686
13.289,73.114,849.557,4.488,0.753,1.7599
13.621,72.015,853.966,4.528,0.727,1.7857
13.378,71.464,844.553,4.525,0.717,1.7540
13.392,72.003,828.614,4.373,0.688,1.7628
13.296,70.461,809.015,4.311,0.668,1.7468
13.503,69.636,801.358,4.174,0.627,1.7368
13.444,70.521,807.924,4.092,0.652,1.7092
13.110,68.859,804.265,3.867,0.703,1.6875
12.832,69.873,815.458,3.718,0.721,1.6620
12.837,69.269,827.229,3.870,0.715,1.6344
12.489,68.948,846.840,3.885,0.797,1.6130
12.573,69.813,852.029,3.939,0.771,1.6073
12.404,70.309,854.272,4.010,0.783,1.6246
12.341,70.385,845.030,4.234,0.827,1.5935
12.216,70.707,828.636,4.266,0.759,1.6242
12.294,71.546,827.207,4.488,0.764,1.6405
12.227,71.909,812.522,4.439,0.716,1.6327
12.525,72.769,801.660,4.517,0.676,1.6566
12.774,73.451,798.868,4.454,0.652,1.6857
12.703,73.438,823.658,4.261,0.634,1.7011
12.716,72.757,824.496,4.249,0.664,1.7333
