p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
14.900,63.205,837.217,4.180,0.746,1.7362
14.984,63.653,868.373,4.240,0.741,1.7368
14.974,63.666,869.627,4.470,0.687,1.7434
15.286,62.115,865.616,4.489,0.685,1.7788
15.459,62.070,863.688,4.483,0.669,1.7563
15.509,61.842,850.855,4.317,0.593,1.7726
15.537,60.308,839.240,4.331,0.567,1.7653
15.468,60.225,832.257,4.228,0.550,1.7398
15.481,60.150,824.718,4.122,0.548,1.7248
15.356,58.862,819.656,3.866,0.581,1.7001
15.140,59.727,838.206,3.863,0.585,1.6871
14.978,58.580,846.405,3.673,0.644,1.6645
14.753,59.782,849.547,3.674,0.669,1.6645
14.398,59.715,872.959,3.888,0.710,1.6428
14.286,60.390,871.803,3.973,0.732,1.6365
14.246,60.503,867.337,4.019,0.756,1.6091
14.391,60.969,860.530,4.125,0.739,1.5931
14.062,61.268,850.355,4.394,0.696,1.6292
14.231,62.357,842.669,4.312,0.667,1.6167
14.441,61.578,822.178,4.416,0.636,1.6261
14.470,62.178,821.523,4.371,0.651,1.6634
14.344,62.307,826.178,4.245,0.622,1.6744
14.781,63.793,826.590,4.207,0.602,1.7182
14.749,63.492,847.119,4.043,0.598,1.7285
