p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
11.89,74.28,647.55,2.260,0.388,0.6275
11.90,74.23,647.17,2.287,0.385,0.6274
11.93,74.16,648.00,2.315,0.386,0.6327
11.95,74.30,647.75,2.349,0.384,0.6381
11.95,74.46,649.97,2.387,0.384,0.6424
11.99,74.40,650.06,2.420,0.386,0.6456
12.01,74.39,647.72,2.407,0.395,0.6429
12.00,74.46,644.94,2.401,0.393,0.6412
12.05,74.48,646.78,2.403,0.400,0.6435
12.08,74.51,648.15,2.419,0.407,0.6429
12.10,74.60,644.75,2.452,0.409,0.6421
12.11,74.62,644.49,2.469,0.413,0.6432
12.12,74.71,645.06,2.453,0.411,0.6430
12.12,74.82,676.11,2.432,0.401,0.6436
12.16,74.93,706.37,2.431,0.392,0.6455
12.17,74.98,733.08,3.080,0.393,0.6474
12.20,74.90,758.29,3.690,0.392,0.6478
12.20,74.94,780.52,4.204,0.379,0.7776
12.21,74.92,800.56,4.711,0.380,0.8912
12.24,74.88,822.32,5.177,0.543,0.9947
12.24,74.83,838.43,5.601,0.688,1.0875
12.27,74.85,856.96,5.960,0.825,1.1717
12.29,74.86,872.34,6.290,0.939,1.2491
12.30,74.88,889.70,6.598,1.058,1.3210
12.31,75.01,901.05,6.887,1.155,1.3827
12.29,75.01,911.67,7.120,1.247,1.4379
12.30,75.09,925.87,7.371,1.344,1.4884
12.27,75.00,935.35,7.599,1.428,1.5309
12.27,74.88,945.57,7.790,1.508,1.5692
12.27,74.98,955.37,7.964,1.578,1.6093
12.28,74.91,964.28,8.142,1.648,1.6442
12.26,74.92,971.86,8.255,1.705,1.6719
12.25,74.85,980.47,8.393,1.756,1.7019
12.25,74.71,988.97,8.500,1.812,1.7237
12.25,74.62,995.17,8.602,1.867,1.7458
12.26,74.68,998.55,8.694,1.912,1.7614
12.24,74.60,1003.93,8.780,1.954,1.7780
12.21,74.66,1009.21,8.879,1.991,1.7917
12.19,74.53,1013.71,8.942,2.035,1.8024
12.16,74.53,1017.08,9.010,2.078,1.8164
12.15,74.40,1023.14,9.057,2.114,1.8289
12.11,74.40,1026.02,9.104,2.139,1.8406
12.09,74.24,1028.57,9.179,2.167,1.8490
12.08,74.11,1031.07,9.256,2.190,1.8589
12.06,73.96,1036.15,9.329,2.222,1.8655
12.02,73.99,1038.85,9.355,2.252,1.8709
12.02,74.04,1041.96,9.423,2.274,1.8746
12.02,74.01,1046.43,9.472,2.298,1.8785
12.02,73.84,1047.47,9.509,2.317,1.8839
12.02,73.84,1049.28,9.560,2.341,1.8917
12.00,73.67,1053.62,9.596,2.361,1.8981
11.98,73.67,1058.46,9.636,2.385,1.8987
11.96,73.55,1060.41,9.679,2.406,1.9049
11.92,73.43,1062.37,9.726,2.420,1.9068
11.91,73.42,1065.17,9.790,2.442,1.9094
11.87,73.45,1069.97,9.809,2.455,1.9126
11.84,73.33,1073.20,9.840,2.474,1.9161
11.82,73.31,1076.11,9.875,2.490,1.9194
11.80,73.25,1078.19,9.920,2.498,1.9266
11.75,73.13,1080.19,9.982,2.512,1.9285
11.70,72.94,1083.02,10.024,2.523,1.9340
11.66,72.85,1087.10,10.078,2.535,1.9364
11.65,72.78,1087.50,10.108,2.534,1.9426
11.63,72.64,1090.23,10.132,2.541,1.9446
11.62,72.53,1094.13,10.156,2.538,1.9476
11.62,72.44,1096.02,10.173,2.537,1.9519
11.59,72.46,1098.88,10.188,2.539,1.9530
11.56,72.36,1099.45,10.237,2.549,1.9546
11.54,72.33,1100.85,10.278,2.554,1.9596
11.51,72.34,1102.50,10.327,2.551,1.9667
11.47,72.17,1104.36,10.332,2.546,1.9708
11.44,72.05,1105.10,10.352,2.550,1.9726
