p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
12.147,64.012,781.091,3.765,0.644,1.5256
12.324,64.968,786.062,3.945,0.644,1.5445
12.522,64.798,805.297,3.955,0.647,1.5642
12.687,64.253,798.017,4.003,0.592,1.5833
12.927,64.288,801.610,4.129,0.566,1.5877
12.752,62.750,785.971,3.992,0.541,1.5864
12.981,62.121,783.887,3.822,0.488,1.5572
13.036,62.027,753.504,3.748,,1.5405
12.744,62.422,756.723,3.677,0.508,1.5461
12.857,61.761,756.329,3.523,0.489,1.5286
12.661,60.623,750.401,3.458,0.530,1.4900
12.249,60.076,766.040,3.257,0.538,1.4990
12.330,60.584,782.648,3.398,0.592,1.4686
11.888,60.310,791.961,3.513,0.646,1.4360
12.107,60.891,804.604,3.465,0.669,1.4323
11.714,61.498,793.686,3.570,0.642,1.4397
11.856,62.861,801.299,3.890,0.657,1.4279
11.888,62.765,786.804,4.003,0.665,1.4227
11.697,63.346,758.587,3.939,0.586,1.4395
11.965,64.003,752.174,4.025,0.608,1.4496
11.665,64.697,748.023,3.952,0.559,1.4803
11.819,65.199,755.334,3.941,0.544,1.4791
12.317,65.019,773.209,3.859,0.484,1.5195
12.449,64.331,772.055,3.660,0.502,1.5174
