p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
13.086,67.922,838.740,3.997,0.720,1.6944
13.276,67.052,854.094,4.242,0.709,1.7187
13.424,67.630,850.695,4.391,0.734,1.7332
13.516,66.103,847.915,4.444,0.681,1.7073
13.411,66.843,850.052,4.405,0.640,1.7484
13.784,64.950,849.007,4.310,0.645,1.7199
13.750,65.310,821.008,4.299,0.599,1.7336
13.539,64.826,808.849,4.214,,1.7095
13.536,64.663,807.972,4.047,0.581,1.7025
13.553,63.831,806.205,3.880,0.569,1.6660
13.274,62.924,817.454,3.711,0.619,1.6560
13.142,62.884,824.002,3.835,0.647,1.6151
12.819,63.863,845.576,3.743,0.669,1.5910
12.642,62.638,842.424,3.776,0.687,1.5985
12.699,63.254,851.574,3.798,0.734,1.5639
12.624,63.534,849.201,4.007,0.719,1.5869
12.404,64.670,846.877,4.215,0.749,1.5607
12.638,65.658,829.148,4.225,0.742,1.5785
12.611,64.977,822.727,4.272,0.679,1.5711
12.508,66.427,818.951,4.541,0.677,1.5984
12.659,67.323,804.273,4.452,0.650,1.6132
12.659,66.309,800.080,4.243,0.581,1.6572
13.032,66.661,821.983,4.255,0.588,1.6652
13.166,66.705,828.018,4.071,0.583,1.6620
