p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
13.962,69.791,847.817,4.138,0.749,1.7224
14.233,69.312,855.250,4.292,0.773,1.7757
14.071,69.360,859.727,4.432,0.728,1.7902
14.494,68.639,876.927,4.431,0.726,1.7984
14.357,67.644,874.980,4.432,0.660,1.8075
14.696,67.697,847.744,4.278,0.656,1.7819
14.474,68.095,840.807,4.281,0.645,1.7882
14.371,66.505,831.265,4.233,0.594,1.7759
14.574,66.429,817.050,4.048,0.621,1.7698
14.303,65.432,813.341,3.994,0.617,1.7358
14.169,66.163,834.362,3.883,0.635,1.7200
13.938,64.930,844.721,3.691,0.666,1.6886
14.002,65.229,857.335,3.638,0.732,1.6548
13.849,65.453,869.881,3.835,0.712,1.6614
13.397,65.787,877.984,3.984,0.758,1.6574
13.444,65.885,861.277,4.106,0.772,1.6189
13.250,66.926,857.339,4.217,0.789,1.6103
13.187,67.396,857.311,4.367,0.738,1.6419
13.449,67.492,827.765,4.361,0.725,1.6616
13.587,68.892,822.039,4.415,0.674,1.6530
13.536,69.182,829.034,4.302,0.673,1.6964
13.682,69.759,830.521,4.232,0.659,1.6818
13.662,68.755,839.613,4.268,0.605,1.7328
14.068,68.785,846.390,3.998,0.587,1.7240
