p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
13.593,68.625,816.811,3.736,0.735,1.6534
13.501,68.275,827.515,3.953,0.712,1.6783
13.584,67.804,821.656,4.100,0.669,1.6805
13.871,67.133,841.774,4.194,0.642,1.6738
14.007,67.612,823.986,4.205,0.619,1.6963
14.201,66.547,826.930,4.146,0.608,1.6909
13.856,66.274,801.290,3.932,0.564,1.6777
14.081,66.001,801.268,3.940,0.554,1.6502
14.062,65.201,783.568,3.845,0.558,1.6381
13.893,63.698,785.535,3.666,0.557,1.6375
13.858,63.612,791.965,3.618,0.565,1.6240
13.685,64.345,808.400,3.443,0.609,1.6061
13.216,64.468,821.289,3.463,0.630,1.5726
13.320,64.625,822.709,3.640,0.702,1.5654
12.937,64.752,823.497,3.688,0.704,1.5433
13.123,64.569,842.525,3.690,0.743,1.5273
12.765,64.560,818.644,3.951,0.731,1.5431
12.662,66.476,809.908,3.944,0.706,1.5176
12.914,65.624,803.795,4.034,0.666,1.5313
12.969,66.334,790.225,4.166,0.635,1.5447
13.103,66.818,779.654,4.044,0.608,1.5751
13.051,67.069,791.089,4.074,0.559,1.5945
13.433,68.100,797.937,3.932,0.565,1.6038
13.599,68.260,815.520,3.931,0.580,1.6604
