p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
15.984,62.384,893.034,4.581,0.824,1.8349
16.191,62.717,898.422,4.893,0.837,1.8641
16.218,62.710,908.776,5.004,0.824,1.8694
16.604,62.403,908.070,4.972,0.800,1.8980
16.463,61.683,914.450,4.968,0.740,1.8993
16.651,61.063,888.456,4.933,0.693,1.9100
16.724,60.547,885.482,5.011,0.722,1.8885
16.430,60.389,870.922,4.706,0.703,1.8617
16.658,59.915,861.948,4.525,0.695,1.8596
16.355,58.849,855.154,4.495,0.675,1.8354
16.353,59.948,872.308,4.400,0.727,1.8213
15.972,59.222,871.403,4.329,0.737,1.7909
16.116,59.113,897.449,4.334,0.764,1.7656
15.935,59.408,895.577,4.359,0.784,1.7579
15.706,59.670,918.250,4.539,0.819,1.7682
15.496,60.122,911.059,4.712,0.846,1.7263
15.498,60.517,901.371,4.803,0.834,1.7295
15.624,61.298,882.679,4.960,0.819,1.7407
15.471,62.154,869.444,4.952,0.778,1.7717
15.628,61.696,870.597,5.135,0.771,1.7779
15.645,62.366,862.279,5.110,0.748,1.8030
15.670,63.145,860.773,4.951,0.727,1.8180
16.025,62.308,865.880,4.815,0.687,1.8394
16.094,63.736,892.915,4.771,0.694,1.8431
