p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
11.86,74.08,634.35,2.279,0.357,0.6383
11.90,74.07,637.72,2.295,0.359,0.6391
11.92,74.14,636.93,2.293,0.367,0.6392
11.93,74.10,638.64,2.326,0.365,0.6408
11.96,74.27,639.40,2.331,0.377,0.6391
12.00,74.27,642.64,2.339,0.377,0.6407
12.04,74.33,641.74,2.346,0.375,0.6451
12.07,74.37,640.96,2.356,0.382,0.6475
12.06,74.35,640.41,2.396,0.391,0.6499
12.06,74.53,642.20,2.388,0.397,0.6482
12.07,74.68,643.12,2.410,0.393,0.6460
12.07,74.73,643.93,2.409,0.385,0.6499
12.07,74.87,642.37,2.410,0.386,0.6491
12.11,74.96,640.58,2.415,0.390,0.6485
12.13,74.95,637.82,2.424,0.391,0.6526
12.16,74.93,635.81,2.405,0.392,0.6494
12.18,74.93,636.72,2.396,0.393,0.6472
12.19,75.00,636.32,2.379,0.394,0.6465
12.22,74.96,633.60,2.364,0.385,0.6483
12.21,74.87,631.02,2.381,0.385,0.6482
12.23,74.87,630.02,2.375,0.376,0.6505
12.25,74.89,628.62,2.372,0.362,0.6461
12.25,75.02,627.79,2.374,0.353,0.6457
12.25,74.94,628.99,2.371,0.342,0.6451
12.26,75.03,626.02,2.375,0.331,0.6432
12.26,75.15,623.70,2.364,0.334,0.6378
12.28,75.24,621.21,2.330,0.333,0.6394
12.29,75.09,618.10,2.305,0.334,0.6346
12.28,75.06,615.34,2.278,0.331,0.6354
12.29,74.98,615.36,2.271,0.320,0.6303
12.31,75.05,615.90,2.242,0.323,0.6249
12.31,,615.55,2.208,0.321,0.6206
12.28,74.95,611.80,2.165,0.323,0.6163
12.29,74.79,612.33,2.132,0.323,0.6160
12.29,74.70,610.12,2.096,0.315,0.6156
12.30,74.69,606.88,2.097,0.314,0.6149
12.26,74.62,604.70,2.090,0.307,0.6106
12.23,74.62,603.24,2.048,0.303,0.6066
12.21,74.58,602.66,2.057,0.307,0.6026
12.20,74.56,602.92,2.041,0.302,0.5974
12.19,74.52,601.02,2.040,0.307,0.5966
12.16,74.54,602.98,2.051,0.316,0.5978
12.16,74.40,599.90,2.060,0.325,0.5935
12.15,74.44,599.07,2.026,0.325,0.5913
12.11,74.44,598.61,2.026,0.336,0.5898
12.10,74.30,599.74,2.008,0.345,0.5874
12.09,74.10,598.30,2.022,0.340,0.5882
12.05,74.02,598.17,2.042,0.345,0.5885
12.04,73.89,599.87,2.020,0.355,0.5858
12.02,73.80,598.16,2.051,0.365,0.5823
12.01,73.83,596.15,2.042,0.364,0.5805
11.99,73.85,598.62,2.070,0.369,0.5800
11.94,73.88,601.71,2.095,0.379,0.5783
11.89,73.66,600.34,2.099,0.377,0.5827
11.88,73.62,602.79,2.131,0.384,0.5829
11.84,73.62,602.89,2.163,0.384,0.5841
11.83,73.57,604.47,2.161,0.394,0.5861
11.82,73.37,606.16,2.185,0.392,0.5896
11.76,73.29,607.56,2.220,0.401,0.5887
11.75,73.13,607.41,2.249,0.396,0.5917
11.71,73.04,610.29,2.288,0.402,0.5920
11.66,72.85,609.12,2.282,0.405,0.5980
11.64,72.90,608.56,2.314,0.412,0.5998
11.62,72.87,612.51,2.356,0.410,0.6023
11.58,72.67,613.95,2.377,0.406,0.6036
11.55,72.70,613.90,2.398,0.402,0.6066
11.52,72.70,618.00,2.399,0.394,0.6078
11.50,72.60,621.48,2.442,0.390,0.6096
11.49,72.55,622.31,2.475,0.383,0.6100
11.46,72.42,621.85,2.486,0.375,0.6158
11.43,72.44,623.77,2.486,0.372,0.6206
11.39,72.23,624.24,2.496,0.374,0.6207
