p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
9.519,69.539,690.786,2.735,0.492,1.2836
9.910,70.166,701.752,2.824,0.481,1.2989
9.797,69.850,706.799,2.869,0.459,1.3301
9.880,70.014,722.134,2.907,0.441,1.3419
9.968,68.332,719.135,3.046,0.423,1.3511
10.260,67.912,691.899,2.974,0.389,1.3372
10.240,68.141,696.279,2.805,0.362,1.3250
10.260,66.928,668.027,2.762,0.348,1.3101
9.940,67.524,665.306,2.719,0.354,1.2843
10.128,66.986,674.903,2.600,0.383,1.2690
9.783,65.708,669.750,2.288,0.377,1.2802
9.538,66.473,682.355,2.319,0.441,1.2590
9.491,66.368,689.841,2.289,0.474,1.2223
9.328,66.562,699.414,2.414,0.476,1.2162
9.034,67.186,706.079,2.423,0.504,1.1963
8.954,66.238,721.362,2.571,0.515,1.1866
8.952,67.464,706.233,2.879,0.489,1.1888
8.847,67.697,696.838,2.853,0.481,1.1944
8.792,68.340,690.009,3.110,0.441,1.1827
8.923,69.613,677.193,3.120,0.428,1.1952
9.245,69.691,667.292,3.127,0.412,1.2077
9.365,69.388,671.071,3.041,0.353,1.2329
9.231,70.011,672.457,2.845,0.370,1.2583
9.604,69.622,689.771,2.777,0.371,1.2748
