p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
14.998,63.030,862.821,4.219,0.779,1.7315
15.253,62.391,864.154,4.395,0.728,1.7654
15.247,61.858,879.515,4.570,0.759,1.7835
15.223,62.536,891.291,4.711,0.723,1.7831
15.414,61.428,888.353,4.626,0.687,1.7988
15.449,60.468,861.075,4.584,0.652,1.7913
15.361,60.825,852.202,4.606,0.610,1.7886
15.505,59.417,849.583,4.483,0.614,1.7698
15.494,58.980,825.829,4.210,0.589,1.7707
15.477,59.288,836.916,4.040,0.631,1.7260
15.350,58.713,844.793,3.914,0.625,1.7175
15.022,59.121,844.469,3.985,0.655,1.7069
14.824,58.035,870.406,3.961,0.671,1.6858
14.758,58.684,885.998,4.099,0.741,1.6715
14.498,58.689,881.650,4.014,0.770,1.6339
14.648,59.497,881.970,4.113,0.756,1.6551
14.235,60.049,883.166,4.278,0.740,1.6593
14.319,60.737,854.726,4.471,0.733,1.6625
14.551,61.330,838.327,4.666,0.688,1.6701
14.418,62.309,841.562,4.665,0.683,1.6653
14.452,62.233,833.522,4.673,0.630,1.6744
14.610,61.992,837.701,4.546,0.618,1.7221
14.864,62.626,840.675,4.448,0.632,1.7444
15.148,63.290,850.076,4.316,0.607,1.7476
