p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
10.120,70.047,740.292,3.387,0.623,1.4436
10.237,69.968,753.143,3.430,0.581,1.4379
10.379,70.002,763.505,3.713,0.592,1.4550
10.790,68.471,763.081,3.737,0.584,1.4684
10.633,68.309,769.214,3.748,0.553,1.4752
11.027,68.001,750.910,3.753,0.499,1.4905
10.939,66.790,739.645,3.638,0.476,1.4642
10.647,67.188,721.353,3.459,0.454,1.4666
10.681,65.714,724.844,3.257,0.486,1.4332
10.821,66.765,708.024,3.191,0.458,1.4344
10.561,66.490,715.585,3.080,0.506,1.3822
10.159,66.064,731.582,2.969,0.523,1.3834
10.240,66.337,745.185,3.060,0.556,1.3603
9.970,66.005,754.263,2.961,0.595,1.3420
9.826,66.147,760.713,3.101,0.600,1.3492
9.674,67.113,764.381,3.202,0.635,1.3199
9.844,66.842,748.533,3.478,0.633,1.3129
9.590,66.767,745.248,3.655,0.618,1.3328
9.833,68.227,736.914,3.653,0.549,1.3222
9.573,68.985,711.101,3.702,0.533,1.3611
9.832,69.144,707.783,3.624,0.538,1.3762
9.949,69.740,725.270,3.493,0.509,1.3940
10.068,69.814,724.901,3.570,0.478,1.4157
10.123,70.346,739.652,3.439,0.428,1.4161
