p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
12.585,71.450,788.706,3.879,0.746,1.6061
12.368,71.824,810.357,4.082,0.729,1.6339
12.596,72.127,822.102,4.239,0.713,1.6511
12.985,71.320,821.658,4.166,0.691,1.6649
12.859,70.572,803.666,4.382,0.654,1.6822
13.124,69.902,801.421,4.218,0.616,1.6830
12.860,69.538,798.026,4.025,0.585,1.6734
12.791,69.137,767.766,3.984,0.570,1.6292
12.867,68.934,772.140,3.774,0.586,1.6160
12.748,68.004,767.324,3.633,0.574,1.6026
12.469,67.558,771.257,3.620,0.605,1.5992
12.669,68.190,783.562,3.481,0.667,1.5769
12.513,67.767,790.833,3.631,0.659,1.5664
11.993,68.194,811.765,3.652,0.705,1.5506
12.196,68.805,815.569,3.670,0.723,1.5347
11.931,68.158,813.002,3.898,0.730,1.5187
11.819,69.205,798.916,4.059,0.715,1.4976
11.699,70.057,795.970,4.135,0.741,1.5160
11.710,69.416,785.888,4.246,0.682,1.5283
11.840,70.307,766.369,4.345,0.682,1.5431
11.953,71.623,760.724,4.266,0.660,1.5490
11.904,72.099,779.234,4.133,0.626,1.5910
12.412,72.359,779.214,4.088,0.597,1.5876
12.266,71.757,787.735,4.024,0.565,1.6300
