p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
13.261,74.194,837.994,4.251,0.859,1.7827
13.257,73.812,868.784,4.352,0.818,1.7725
13.414,73.795,870.177,4.545,0.829,1.7991
13.738,73.083,876.892,4.554,0.764,1.8070
13.779,72.686,876.220,4.594,0.752,1.8169
13.601,72.473,856.850,4.575,0.712,1.8105
13.674,71.510,850.809,4.576,0.691,1.8124
13.517,71.543,833.402,4.313,0.694,1.8050
13.749,71.223,817.812,4.311,0.661,1.7720
13.719,70.538,824.464,4.059,0.689,1.7566
13.494,70.830,825.112,3.888,0.739,1.7221
13.102,69.849,839.525,3.993,0.709,1.7175
12.980,70.887,858.908,3.999,0.775,1.7070
12.890,71.029,865.071,3.908,0.829,1.6747
12.825,71.324,874.816,4.211,0.794,1.6718
12.471,70.921,867.258,4.351,0.811,1.6434
12.438,71.846,852.875,4.493,0.803,1.6475
12.576,71.762,847.273,4.593,0.795,1.6629
12.468,72.901,840.487,4.527,0.775,1.6739
12.761,73.534,820.338,4.701,0.774,1.6729
12.568,73.816,823.580,4.556,0.750,1.7035
12.712,73.846,820.087,4.548,0.721,1.7235
12.861,74.394,826.231,4.312,0.673,1.7391
13.027,74.544,844.002,4.230,0.702,1.7615
