p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
12.412,65.734,782.868,3.578,0.651,1.5452
12.612,65.504,807.554,3.800,0.672,1.5749
12.863,66.333,813.494,3.803,0.638,1.5761
12.699,66.001,813.080,3.891,0.600,1.6135
12.978,65.121,799.973,3.947,0.554,1.6186
13.151,64.134,795.805,3.900,0.522,1.6001
13.119,64.444,777.776,3.930,0.519,1.5768
13.164,64.091,762.126,3.858,0.528,1.5717
12.913,63.564,753.811,3.569,0.524,1.5713
12.885,63.057,758.804,3.457,0.508,1.5597
12.797,62.859,762.205,3.441,0.510,1.5082
12.587,62.198,773.592,3.333,0.548,1.4885
12.393,61.793,795.508,3.312,0.596,1.4833
12.246,61.964,810.313,3.372,0.604,1.4498
11.834,62.872,799.777,3.423,0.643,1.4590
12.105,63.259,799.879,3.715,0.688,1.4565
11.831,63.050,799.928,3.694,0.651,1.4218
11.896,63.672,784.662,3.908,0.657,1.4481
11.823,65.008,780.778,3.976,0.614,1.4673
11.684,65.713,764.950,3.984,0.600,1.4712
11.968,65.574,751.044,3.940,0.547,1.4796
12.219,65.647,761.252,3.943,0.499,1.5090
12.095,66.454,771.044,3.853,0.483,1.5413
12.575,66.314,777.706,3.639,0.497,1.5383
