p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
12.903,75.565,828.576,3.858,0.764,1.7262
12.849,75.718,837.887,3.973,0.788,1.7268
13.020,74.738,843.405,4.185,0.745,1.7605
13.449,75.147,849.903,4.161,0.702,1.7675
13.458,74.296,848.581,4.154,0.693,1.7417
13.359,73.801,840.758,4.187,0.674,1.7609
13.384,72.397,814.461,4.231,0.637,1.7575
13.507,72.937,813.144,3.942,0.612,1.7549
13.478,72.502,799.071,3.923,0.646,1.7103
13.034,72.100,791.660,3.627,0.610,1.7152
13.124,70.471,805.596,3.541,0.629,1.6984
13.073,71.069,809.152,3.584,0.718,1.6484
12.848,70.665,,3.669,0.727,1.6263
12.684,71.360,837.873,3.736,0.764,1.6274
12.438,70.790,854.883,3.713,0.775,1.6150
12.365,72.344,841.363,3.785,0.792,1.6026
12.224,73.105,845.998,3.967,0.780,1.6080
12.154,72.796,818.479,4.104,0.780,1.5873
12.394,74.203,805.767,4.194,0.745,1.6027
12.429,73.511,811.816,4.253,0.736,1.6331
12.459,74.029,792.848,4.264,0.707,1.6573
12.394,74.584,797.458,4.295,0.664,1.6626
12.500,75.291,810.121,4.056,0.630,1.7048
12.854,74.966,832.395,3.830,0.627,1.7236
