p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
9.933,71.473,717.581,2.769,0.565,1.3471
10.134,71.176,736.954,2.786,0.510,1.3724
10.072,72.014,735.405,3.062,0.545,1.4098
10.433,70.665,732.703,3.000,0.481,1.4116
10.443,70.622,728.888,3.188,0.450,1.4039
10.596,70.760,727.826,3.097,0.435,1.3962
10.397,69.956,706.093,3.074,0.391,1.3929
10.348,69.658,695.564,2.798,0.414,1.4008
10.300,68.242,694.976,2.663,0.415,1.3850
10.460,68.936,686.332,2.507,0.409,1.3462
10.116,67.776,696.311,2.383,0.421,1.3481
10.060,67.438,710.569,2.418,0.433,1.3160
9.831,68.239,712.795,2.377,0.494,1.2731
9.769,67.374,734.278,2.557,0.506,1.2895
9.673,68.412,733.466,2.669,0.523,1.2652
9.573,68.190,740.039,2.701,0.558,1.2693
9.500,68.810,738.422,2.757,0.567,1.2700
9.260,69.856,727.136,3.072,0.553,1.2694
9.116,70.516,697.186,3.167,0.489,1.2838
9.385,70.910,703.347,3.173,0.469,1.2666
9.307,70.825,689.237,3.012,0.419,1.3069
9.705,71.817,697.949,2.918,0.432,1.3342
9.869,71.950,693.745,2.920,0.373,1.3257
9.829,71.597,710.216,2.677,0.400,1.3793
