p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
9.987,69.139,740.719,3.418,0.637,1.4311
10.381,67.957,737.794,3.601,0.602,1.4359
10.628,67.599,757.904,3.688,0.584,1.4286
10.528,67.498,762.344,3.816,0.547,1.4629
10.598,68.032,760.696,3.761,0.522,1.4523
10.667,67.559,742.044,3.714,0.522,1.4648
10.766,66.125,724.347,3.588,0.483,1.4564
10.819,65.256,719.207,3.597,0.449,1.4469
10.489,66.004,712.621,3.290,0.430,1.4243
10.550,64.198,719.368,3.317,0.459,1.3870
10.522,64.563,720.061,3.116,0.470,1.3942
10.424,64.009,728.280,3.029,0.539,1.3595
10.220,65.001,736.270,3.127,0.541,1.3565
9.914,65.078,747.928,3.066,0.581,1.3420
9.767,64.286,759.249,3.181,0.601,1.3111
9.642,64.961,751.330,3.400,0.614,1.2912
9.695,65.000,754.671,3.544,0.626,1.2956
9.617,66.777,747.021,3.620,0.564,1.3045
9.599,67.398,731.524,3.696,0.568,1.3125
9.706,67.176,716.671,3.666,0.534,1.3477
9.647,68.073,712.055,3.814,0.524,1.3618
9.790,67.815,716.177,3.718,0.498,1.3498
9.815,68.536,729.429,3.659,0.471,1.3875
9.989,68.614,741.452,3.386,0.462,1.4273
