p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
11.73,74.04,642.19,2.201,0.390,0.6118
11.75,74.16,644.85,2.229,0.386,0.6178
11.80,74.20,644.48,2.279,0.383,0.6197
11.82,74.14,643.07,2.302,0.389,0.6270
11.87,74.11,642.97,2.305,0.393,0.6313
11.91,74.13,645.40,2.340,0.398,0.6311
11.96,74.30,646.71,2.379,0.403,0.6375
11.97,74.38,648.50,2.388,0.402,0.6389
11.99,74.51,647.40,2.397,0.404,0.6432
12.03,74.57,649.22,2.391,0.403,0.6436
12.03,74.52,648.27,2.408,0.404,0.6485
12.05,74.53,647.28,2.440,0.398,0.6513
12.06,74.54,648.35,2.465,0.403,0.6497
12.11,74.49,647.08,2.478,0.399,0.6504
12.14,74.54,647.16,2.498,0.399,0.6509
12.18,74.68,646.66,2.499,0.397,0.6477
12.18,74.72,642.76,2.505,0.388,0.6454
12.19,74.67,641.73,2.493,0.377,0.6446
12.21,74.83,641.69,2.460,0.365,0.6447
12.23,74.89,640.04,2.432,0.360,0.6444
12.23,74.79,637.24,2.401,0.355,0.6450
12.24,74.83,633.33,2.402,0.346,0.6444
12.24,74.79,632.57,2.361,0.343,0.6422
12.27,74.74,629.90,2.348,0.335,0.6420
12.27,74.75,628.80,2.324,0.334,0.6381
12.28,74.81,626.73,2.320,0.333,0.6404
12.28,74.77,626.01,2.301,0.333,0.6402
12.30,74.77,623.47,2.283,0.335,0.6364
12.30,74.82,619.49,2.238,0.324,0.6328
12.32,74.72,619.94,2.207,0.317,0.6330
12.31,74.85,617.56,2.210,0.314,0.6306
12.32,,618.52,2.196,0.308,0.6293
12.34,74.74,615.58,2.172,0.304,0.6248
12.32,74.73,616.38,2.161,0.299,0.6244
12.30,74.84,616.79,2.152,0.294,0.6203
12.28,74.81,612.66,2.105,0.288,0.6187
12.27,74.74,611.74,2.107,0.286,0.6192
12.28,74.70,609.47,2.092,0.286,0.6165
12.28,74.69,609.58,2.068,0.290,0.6155
12.27,74.76,609.02,2.059,0.289,0.6138
12.23,74.63,609.85,2.034,0.298,0.6119
12.20,74.44,606.51,2.039,0.297,0.6051
12.18,74.47,605.89,2.040,0.298,0.6024
12.18,74.36,606.23,2.036,0.305,0.6036
12.16,74.36,602.82,2.010,0.307,0.6033
12.11,74.32,600.04,2.030,0.317,0.6030
12.10,74.32,601.21,2.022,0.322,0.6012
12.09,74.29,600.25,2.042,0.328,0.6009
12.05,74.16,599.60,2.020,0.334,0.5996
12.04,73.96,600.06,2.007,0.337,0.5955
12.00,73.89,600.78,2.000,0.336,0.5956
11.99,73.89,601.94,1.999,0.350,0.5958
11.94,73.72,604.46,2.009,0.356,0.5978
11.91,73.71,603.97,2.041,0.369,0.5947
11.90,73.62,605.68,2.055,0.369,0.5962
11.86,73.58,606.44,2.101,0.372,0.5930
11.83,73.52,607.10,2.143,0.370,0.5975
11.79,73.50,607.23,2.181,0.376,0.5954
11.74,73.28,608.84,2.189,0.386,0.5933
11.69,73.26,608.49,2.218,0.392,0.5940
11.67,73.15,607.75,2.243,0.394,0.5938
11.63,73.00,610.45,2.248,0.397,0.5981
11.64,72.80,611.90,2.263,0.404,0.6002
11.60,72.65,612.88,2.291,0.404,0.6052
11.56,72.46,614.86,2.317,0.409,0.6110
11.56,72.52,615.37,2.325,0.412,0.6162
11.55,72.45,616.07,2.373,0.413,0.6201
11.54,72.50,617.87,2.377,0.408,0.6188
11.53,72.42,622.45,2.407,0.404,0.6187
11.48,72.27,623.19,2.437,0.401,0.6193
11.45,72.26,627.23,2.458,0.393,0.6211
11.45,72.10,628.90,2.489,0.390,0.6255
