p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
14.498,69.005,818.067,4.083,0.772,1.6999
14.727,68.537,830.763,4.281,0.741,1.7440
14.796,68.546,855.938,4.209,0.741,1.7628
14.918,67.347,845.085,4.467,0.712,1.7522
14.930,67.022,850.090,4.330,0.673,1.7719
15.064,66.881,828.371,4.452,0.623,1.7630
15.009,66.092,813.328,4.364,0.612,1.7555
14.788,65.892,803.490,4.120,0.596,1.7396
14.823,65.006,806.340,4.109,0.625,1.7116
14.818,65.186,806.693,3.788,0.616,1.6935
14.732,64.932,800.812,3.873,0.655,1.6965
14.324,65.113,810.650,3.741,0.683,1.6521
14.471,63.925,,3.833,0.728,1.6293
14.158,64.639,837.861,3.878,0.750,1.6417
14.104,64.898,841.224,3.925,0.747,1.6122
13.814,65.060,856.053,4.066,0.768,1.5946
13.672,65.754,847.297,4.179,0.733,1.6110
13.790,66.303,832.634,4.242,0.775,1.5862
13.847,67.320,812.157,4.462,0.727,1.6128
13.919,68.184,796.218,4.526,0.697,1.6436
14.043,67.903,803.779,4.484,0.648,1.6652
14.259,68.178,803.967,4.212,0.613,1.6869
14.226,69.221,812.067,4.194,0.590,1.6893
14.291,68.270,816.224,4.161,0.593,1.7172
