p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
11.78,74.33,648.95,2.307,0.353,0.6218
11.79,74.48,647.21,2.328,0.356,0.6243
11.82,74.62,649.40,2.350,0.358,0.6238
11.84,74.71,646.79,2.370,0.361,0.6294
11.86,74.68,648.70,2.378,0.365,0.6289
11.87,74.77,646.72,2.376,0.363,0.6345
11.92,74.65,644.80,2.386,0.373,0.6396
11.97,74.69,643.60,2.411,0.372,0.6424
12.01,74.71,642.02,2.438,0.374,0.6441
12.01,74.78,642.93,2.467,0.379,0.6453
12.04,74.85,640.38,2.484,0.381,0.6471
12.06,74.89,637.92,2.511,0.386,0.6504
12.09,74.99,639.45,2.514,0.390,0.6541
12.12,75.11,637.83,2.504,0.381,0.6539
12.14,75.01,636.64,2.503,0.385,0.6562
12.14,74.96,634.64,2.482,0.375,0.6570
12.18,74.86,632.05,2.484,0.365,0.6549
12.19,74.98,633.00,2.460,0.368,0.6541
12.20,75.01,632.52,2.431,0.370,0.6506
12.21,75.13,632.98,2.438,0.366,0.6467
12.22,75.06,631.80,2.417,0.362,0.6432
12.24,74.95,632.04,2.415,0.359,0.6457
12.25,75.05,630.69,2.400,0.352,0.6434
12.29,75.15,627.26,2.395,0.340,0.6439
12.28,75.09,625.98,2.389,0.328,0.6423
12.31,75.05,626.85,2.386,0.322,0.6380
12.32,74.95,622.88,2.372,0.322,0.6344
12.31,75.06,622.88,2.346,0.320,0.6323
12.31,74.99,623.09,2.321,0.321,0.6300
12.32,74.98,621.36,2.266,0.323,0.6282
12.33,74.86,619.34,2.258,0.312,0.6236
12.30,,619.91,2.245,0.314,0.6207
12.30,74.82,615.74,2.202,0.306,0.6171
12.29,74.79,614.02,2.157,0.305,0.6145
12.30,74.81,611.97,2.143,0.304,0.6114
12.28,74.84,611.48,2.108,0.301,0.6102
12.28,74.91,609.96,2.079,0.298,0.6104
12.27,74.82,610.64,2.035,0.296,0.6092
12.25,74.83,606.97,2.039,0.295,0.6036
12.24,74.67,603.73,2.027,0.292,0.5986
12.22,74.59,603.48,2.009,0.295,0.5984
12.21,74.43,600.52,1.981,0.293,0.5952
12.20,74.38,598.95,1.982,0.298,0.5956
12.18,74.31,599.38,1.954,0.309,0.5953
12.18,74.37,599.37,1.966,0.312,0.5969
12.15,74.18,598.28,1.953,0.320,0.5980
12.14,74.09,600.74,1.954,0.330,0.5951
12.12,74.02,600.67,1.954,0.340,0.5944
12.08,74.07,600.32,1.958,0.340,0.5906
12.04,74.08,600.88,1.982,0.340,0.5889
12.02,73.89,598.98,2.010,0.341,0.5923
12.00,73.86,600.46,2.027,0.349,0.5935
11.95,73.79,602.68,2.022,0.359,0.5924
11.91,73.82,603.80,2.020,0.367,0.5933
11.89,73.68,605.56,2.027,0.367,0.5970
11.84,73.56,607.07,2.060,0.377,0.5958
11.80,73.39,606.08,2.096,0.381,0.5956
11.77,73.21,606.60,2.111,0.389,0.5989
11.77,73.23,606.18,2.147,0.396,0.6023
11.74,73.13,606.60,2.174,0.398,0.6046
11.74,73.09,607.78,2.200,0.406,0.6082
11.72,73.03,608.89,2.216,0.408,0.6112
11.68,72.96,608.50,2.258,0.410,0.6137
11.66,72.75,610.08,2.266,0.412,0.6152
11.63,72.74,612.92,2.291,0.416,0.6178
11.62,72.59,614.22,2.308,0.416,0.6188
11.60,72.42,614.52,2.345,0.408,0.6196
11.56,72.36,618.89,2.369,0.400,0.6206
11.52,72.18,618.71,2.400,0.397,0.6206
11.52,72.19,622.62,2.397,0.391,0.6211
11.47,72.05,622.61,2.413,0.385,0.6273
11.48,71.92,622.86,2.437,0.376,0.6296
