p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
10.440,71.556,706.371,2.796,0.561,1.3966
10.677,72.494,736.766,3.050,0.584,1.4065
10.768,71.140,742.973,3.167,0.511,1.4310
11.222,71.329,744.922,3.061,0.532,1.4061
11.014,71.527,735.848,3.255,0.481,1.4430
11.105,69.682,728.086,3.243,0.445,1.4258
11.104,70.347,720.457,3.126,0.400,1.4155
10.997,69.700,702.770,2.903,0.408,1.4000
11.142,68.767,695.984,2.852,0.395,1.4092
10.952,69.040,695.407,2.624,0.437,1.3788
10.990,67.323,698.419,2.446,0.417,1.3458
10.859,68.196,702.561,2.424,0.488,1.3385
10.431,67.436,728.262,2.616,0.523,1.3191
10.162,67.373,733.426,2.494,0.512,1.2888
10.127,68.157,740.155,2.701,0.552,1.2856
9.982,68.427,732.194,2.752,0.563,1.2837
9.992,69.002,729.396,2.848,0.539,1.2854
10.103,69.423,726.791,3.029,0.557,1.2590
9.998,70.017,696.311,3.208,0.534,1.2951
10.061,71.308,693.359,3.178,0.475,1.2905
10.164,71.889,694.715,3.074,0.475,1.3079
10.215,71.435,690.642,3.081,0.455,1.3291
10.529,71.570,707.381,2.943,0.406,1.3630
10.467,71.430,716.506,2.957,0.412,1.3743
