p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
10.891,71.807,767.579,3.506,0.695,1.5446
10.812,71.056,798.350,3.769,0.655,1.5628
11.064,71.125,791.675,3.723,0.642,1.5687
11.060,71.158,803.679,3.874,0.602,1.5909
11.382,70.422,793.126,3.902,0.569,1.5826
11.523,70.178,789.908,3.933,0.544,1.5749
11.157,69.512,778.947,3.683,0.558,1.5773
11.356,67.744,756.271,3.748,0.506,1.5777
11.297,67.925,750.973,3.496,0.501,1.5409
11.200,68.167,750.466,3.303,0.527,1.5288
11.126,67.164,761.676,3.320,0.537,1.4851
10.657,68.000,773.067,3.324,0.564,1.4876
10.825,66.897,776.744,3.301,0.635,1.4713
10.632,67.526,798.482,3.337,0.654,1.4483
10.570,67.264,799.848,3.371,0.635,1.4377
10.289,67.551,805.088,3.466,0.676,1.4332
10.347,68.805,792.923,3.757,0.692,1.4352
10.024,68.420,772.963,3.743,0.676,1.4349
10.036,69.894,763.753,3.792,0.623,1.4440
10.140,70.581,753.202,3.872,0.588,1.4630
10.300,71.151,753.730,4.016,0.542,1.4830
10.438,71.497,752.436,3.787,0.514,1.5025
10.443,70.646,762.194,3.736,0.546,1.5084
10.677,71.545,782.579,3.577,0.523,1.5182
