p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
15.955,64.081,889.479,4.567,0.835,1.8524
16.241,64.935,908.134,4.710,0.838,1.8980
16.607,63.900,908.163,4.779,0.788,1.8904
16.741,64.019,924.144,5.009,0.789,1.8988
16.686,63.893,916.477,4.982,0.760,1.9304
16.925,62.146,910.774,4.855,0.725,1.9185
16.577,61.783,886.091,4.764,0.682,1.9279
16.770,61.138,873.454,4.833,0.666,1.9188
16.447,60.818,862.633,4.485,0.697,1.9002
16.549,60.480,869.502,4.493,0.718,1.8675
16.504,61.225,871.648,4.228,0.724,1.8565
16.077,59.569,885.548,4.209,0.717,1.8162
15.878,59.655,900.976,4.293,0.774,1.7803
16.000,60.859,904.787,4.460,0.784,1.7915
15.941,60.632,914.494,4.358,0.838,1.7599
15.673,60.945,916.512,4.565,0.854,1.7508
15.711,62.256,917.046,4.785,0.826,1.7692
15.740,61.852,889.958,4.766,0.818,1.7839
15.703,62.387,889.544,4.827,0.804,1.7675
15.420,63.219,877.446,5.009,0.748,1.7982
15.708,63.103,862.756,4.974,0.729,1.8071
15.802,63.479,879.607,4.947,0.720,1.8134
15.972,64.950,877.895,4.886,0.687,1.8640
16.231,64.120,890.022,4.678,0.674,1.8573
