p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
11.77,74.07,643.61,2.232,0.382,0.6112
11.80,74.10,646.54,2.247,0.387,0.6146
11.85,74.19,645.75,2.294,0.391,0.6193
11.87,74.35,646.18,2.333,0.389,0.6260
11.92,74.40,643.78,2.347,0.384,0.6295
11.94,74.42,642.76,2.381,0.389,0.6326
11.95,74.59,643.59,2.394,0.392,0.6390
11.98,74.73,645.00,2.386,0.400,0.6408
12.01,74.82,646.53,2.422,0.398,0.6447
12.02,74.78,647.52,2.417,0.401,0.6451
12.04,74.92,648.62,2.429,0.406,0.6445
12.07,75.05,648.37,2.460,0.401,0.6480
12.07,75.04,647.67,2.446,0.397,0.6507
12.07,74.95,647.39,2.472,0.396,0.6497
12.11,74.95,645.88,2.472,0.393,0.6500
12.14,75.02,644.62,2.443,0.383,0.6504
12.15,75.09,644.14,2.417,0.375,0.6497
12.17,75.04,644.42,2.422,0.376,0.6497
12.18,75.10,641.08,2.428,0.367,0.6506
12.20,75.19,637.32,2.435,0.358,0.6525
12.24,75.23,636.28,2.415,0.358,0.6536
12.25,75.32,632.65,2.378,0.358,0.6528
12.24,75.33,629.14,2.363,0.357,0.6483
12.24,75.22,637.49,2.355,0.357,0.6466
12.25,75.23,660.84,2.357,0.358,0.6443
12.26,75.15,693.95,3.820,0.350,0.6398
12.27,75.09,730.86,7.427,0.343,0.6413
12.28,75.11,762.44,12.004,0.519,0.6400
12.29,75.21,787.05,16.330,0.925,0.6407
12.30,75.20,794.20,19.190,1.353,0.6393
12.28,75.27,791.90,19.718,1.602,0.6357
12.29,75.21,791.59,19.680,1.608,0.6313
12.27,75.20,788.36,19.633,1.602,0.6259
12.26,75.09,785.36,19.547,1.575,0.6229
12.27,74.93,777.24,18.286,1.380,0.6167
12.29,74.85,757.49,15.661,1.048,0.6132
12.26,74.80,735.01,12.250,0.696,0.6074
12.25,74.77,706.22,8.598,0.417,0.6033
12.25,74.76,676.14,5.288,0.298,0.6046
12.21,74.68,646.64,2.888,0.299,0.6016
12.17,74.68,622.08,1.965,0.303,0.5995
12.14,74.70,603.88,1.953,0.303,0.5974
12.14,74.56,598.37,1.922,0.308,0.5924
12.13,74.58,596.62,1.929,0.313,0.5949
12.09,74.57,594.61,1.930,0.315,0.5922
12.08,74.48,592.70,1.938,0.317,0.5927
12.04,74.27,590.48,1.946,0.322,0.5917
12.05,74.10,590.79,1.963,0.320,0.5933
12.02,74.07,590.70,1.972,0.323,0.5948
11.99,73.92,591.32,1.989,0.326,0.5920
11.98,73.91,589.77,1.976,0.337,0.5919
11.97,73.75,589.17,2.010,0.343,0.5891
11.92,73.62,588.76,2.003,0.355,0.5906
11.89,73.49,589.15,2.035,0.355,0.5900
11.88,73.52,589.81,2.042,0.365,0.5919
11.87,73.49,589.86,2.042,0.376,0.5952
11.84,73.35,592.78,2.079,0.380,0.5961
11.83,73.34,594.44,2.099,0.382,0.5963
11.79,73.13,598.45,2.118,0.384,0.6007
11.77,73.14,601.33,2.152,0.388,0.6021
11.76,72.95,604.89,2.176,0.387,0.6024
11.71,72.97,603.39,2.203,0.391,0.6070
11.68,72.95,605.61,2.210,0.399,0.6086
11.65,72.94,606.70,2.231,0.405,0.6103
11.60,72.90,610.19,2.273,0.400,0.6132
11.59,72.81,612.05,2.299,0.400,0.6153
11.58,72.64,613.97,2.345,0.396,0.6149
11.56,72.61,617.60,2.346,0.401,0.6150
11.53,72.59,619.64,2.374,0.392,0.6148
11.53,72.43,619.87,2.411,0.384,0.6193
11.48,72.37,623.28,2.439,0.375,0.6202
11.46,72.38,626.64,2.460,0.373,0.6211
