p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
13.870,68.239,817.541,4.056,0.768,1.7023
13.672,69.410,848.593,4.071,0.730,1.6964
13.904,68.401,840.403,4.230,0.693,1.7337
14.324,67.955,859.181,4.165,0.675,1.7202
14.145,67.860,855.447,4.261,0.645,1.7543
14.419,67.402,839.801,4.194,0.641,1.7299
14.198,65.963,825.919,4.269,0.597,1.7312
14.431,66.254,808.594,4.139,0.576,1.7016
14.167,65.830,813.404,3.872,0.581,1.6891
13.977,65.116,794.651,3.849,0.582,1.6797
13.783,64.953,814.112,3.735,0.620,1.6423
13.592,65.377,826.106,3.620,0.625,1.6351
13.724,64.063,826.982,3.611,0.684,1.6198
13.586,65.138,844.226,3.580,0.683,1.6109
13.511,65.475,850.746,3.695,0.706,1.5875
13.108,65.486,845.140,3.801,0.717,1.5966
13.079,66.079,838.288,3.996,0.760,1.5671
13.183,65.803,831.707,4.094,0.729,1.5855
13.055,66.988,815.630,4.202,0.674,1.5790
12.969,67.138,809.997,4.389,0.652,1.6050
13.391,68.736,800.848,4.221,0.634,1.6232
13.518,67.735,806.506,4.212,0.630,1.6563
13.528,67.877,823.607,4.066,0.587,1.6625
13.632,68.843,832.102,4.021,0.558,1.6947
