p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
16.152,64.674,913.128,4.839,0.862,1.9211
16.603,63.733,924.115,4.894,0.866,1.9188
16.744,63.869,927.761,5.099,0.831,1.9164
16.928,62.639,929.147,5.140,0.811,1.9372
16.691,62.397,931.706,5.234,0.768,1.9420
16.855,62.689,911.528,5.037,0.725,1.9320
17.015,61.656,895.651,5.088,0.714,1.9357
16.895,60.706,897.621,4.943,0.695,1.9203
16.918,61.173,872.465,4.813,0.705,1.9001
16.699,60.398,878.795,4.509,0.727,1.8817
16.429,60.349,891.508,4.524,0.761,1.8830
16.471,59.964,892.800,4.540,0.771,1.8689
16.180,60.505,901.111,4.551,0.820,1.8488
15.934,59.523,929.834,4.479,0.841,1.8032
16.042,59.847,935.741,4.537,0.847,1.7918
15.907,60.791,917.640,4.869,0.864,1.7759
15.827,61.826,917.478,5.021,0.844,1.7726
15.781,61.132,906.339,5.110,0.854,1.8109
15.532,61.650,889.560,5.226,0.804,1.8210
15.757,62.207,875.715,5.205,0.805,1.8225
15.848,63.509,877.357,5.207,0.735,1.8426
15.943,64.293,887.014,5.171,0.741,1.8630
16.239,63.107,891.157,4.853,0.721,1.8939
16.354,64.414,900.573,4.778,0.676,1.8860
