p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
14.892,61.471,844.070,4.458,0.751,1.7122
15.053,60.850,856.482,4.386,0.751,1.7325
15.218,61.089,869.867,4.541,0.752,1.7539
15.092,60.769,885.317,4.641,0.678,1.7921
15.253,60.885,867.555,4.766,0.669,1.7809
15.518,60.592,861.991,4.677,0.662,1.7653
15.627,59.287,844.499,4.619,0.641,1.7727
15.453,59.490,834.760,4.345,0.569,1.7595
15.202,57.849,825.019,4.349,0.569,1.7512
15.418,58.381,821.505,4.184,0.619,1.7097
15.284,58.243,832.774,4.000,0.625,1.7184
15.084,58.121,840.359,4.083,0.686,1.6754
14.693,56.963,849.334,4.053,0.718,1.6457
14.434,58.155,870.354,4.052,0.744,1.6606
14.441,58.062,880.093,4.153,0.744,1.6493
14.515,58.763,872.666,4.320,0.779,1.6317
14.370,59.254,871.771,4.373,0.766,1.6382
14.381,60.072,854.966,4.587,0.743,1.6429
14.332,60.618,841.510,4.585,0.686,1.6478
14.323,61.244,829.030,4.660,0.673,1.6334
14.577,60.565,826.841,4.734,0.625,1.6594
14.456,60.850,833.563,4.612,0.603,1.6805
14.861,61.755,844.525,4.368,0.599,1.7148
14.845,61.369,853.311,4.299,0.586,1.7114
