p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
11.74,74.46,648.94,2.184,0.377,0.6160
11.78,74.53,651.17,2.224,0.374,0.6212
11.81,74.58,651.64,2.262,0.375,0.6240
11.83,74.69,649.84,2.282,0.373,0.6251
11.87,74.75,649.71,2.323,0.379,0.6306
11.90,74.77,650.65,2.362,0.376,0.6300
11.94,74.86,648.95,2.373,0.384,0.6315
11.96,74.91,647.84,2.374,0.394,0.6339
11.98,74.93,645.10,,0.393,0.6401
12.01,74.84,645.29,2.427,0.387,0.6440
12.03,74.87,643.12,2.413,0.384,0.6441
12.05,74.82,730.50,2.421,0.379,0.6485
12.10,74.87,806.34,2.451,0.376,0.6515
12.12,74.92,877.87,2.450,0.378,0.7527
12.17,74.83,941.32,2.437,0.370,0.8481
12.20,74.88,997.29,3.692,0.368,0.9371
12.20,74.83,1047.17,4.858,0.371,1.0200
12.20,74.85,1094.56,5.960,0.369,1.0943
12.22,74.98,1134.89,6.942,0.367,1.1677
12.22,74.90,1168.94,7.829,0.360,1.2364
12.24,75.04,1201.93,8.669,0.351,1.2953
12.27,74.96,1233.41,9.423,0.341,1.3534
12.26,74.86,1258.95,10.134,0.333,1.4096
12.26,74.95,1285.30,10.761,0.327,1.4617
12.27,74.90,1304.04,11.348,0.317,1.5064
12.29,74.96,1325.53,11.878,0.312,1.5461
12.31,75.06,1342.48,12.359,0.314,1.5830
12.31,75.03,1358.23,12.831,0.650,1.6223
12.33,75.09,1373.51,13.251,1.507,1.6576
12.33,75.09,1384.84,13.610,2.677,1.6868
12.32,75.03,1394.83,13.939,3.954,1.7161
12.30,74.89,1405.15,14.271,5.124,1.7434
12.29,74.96,1414.11,14.552,5.979,1.7706
12.26,74.80,1421.72,14.834,6.302,1.7927
12.24,74.76,1426.18,15.077,6.294,1.8110
12.23,74.71,1433.66,15.295,6.287,1.8299
12.25,74.77,1439.43,15.498,6.286,1.8502
12.23,74.68,1443.27,15.691,6.293,1.8662
12.21,74.58,1447.19,15.863,6.082,1.8795
12.22,74.45,1449.36,16.028,5.528,1.8900
12.18,74.31,1451.42,16.174,4.740,1.9020
12.17,74.21,1455.41,16.285,3.797,1.9158
12.13,74.10,1457.62,16.392,2.802,1.9229
12.13,74.02,1460.42,16.490,1.862,1.9311
12.13,73.90,1463.88,16.593,1.062,1.9373
12.10,73.83,1468.77,16.705,0.519,1.9449
12.09,73.79,1470.00,16.794,0.320,1.9523
12.06,73.69,1473.04,,0.323,1.9623
12.02,73.70,1474.16,16.999,0.328,1.9688
11.99,73.62,1474.89,17.069,0.328,1.9788
11.98,73.47,1478.16,17.162,0.339,1.9898
11.95,73.33,1479.71,17.266,0.342,1.9955
11.93,73.28,1480.22,17.348,0.351,2.0041
11.90,73.21,1484.56,17.419,0.359,2.0082
11.90,73.16,1485.37,17.473,0.358,2.0123
11.88,73.08,1486.89,17.541,0.363,2.0226
11.85,73.02,1489.15,17.602,0.373,2.0275
11.83,73.06,1488.45,17.685,0.384,2.0303
11.80,72.91,1491.45,17.748,0.390,2.0330
11.78,72.79,1494.10,17.824,0.390,2.0366
11.75,72.81,1493.46,17.851,0.400,2.0417
11.71,72.78,1495.52,17.924,0.406,2.0460
11.68,72.71,1499.72,17.966,0.406,2.0533
11.65,72.71,1502.52,18.035,0.403,2.0617
11.64,72.61,1503.94,18.064,0.399,2.0642
11.60,72.44,1507.86,18.112,0.393,2.0668
11.59,72.27,1510.61,18.146,0.395,2.0709
11.57,72.21,1513.57,18.173,0.387,2.0747
11.53,72.13,1515.30,18.218,0.391,2.0839
11.50,72.07,1518.32,18.266,0.385,2.0912
11.47,72.00,1520.51,18.276,0.384,2.0952
11.45,71.88,1519.82,18.288,0.383,2.1007
