p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
16.753,65.486,900.887,4.789,0.882,1.8993
17.033,66.067,921.537,4.762,0.859,1.9246
17.089,64.652,926.540,4.965,0.851,1.9606
17.360,64.631,917.655,4.947,0.831,1.9398
17.329,63.562,912.733,4.930,0.791,1.9479
17.371,63.365,900.805,5.013,0.737,1.9399
17.596,63.985,886.611,4.912,0.725,1.9342
17.467,62.590,889.414,4.692,0.685,1.9419
17.511,62.837,866.165,4.549,0.716,1.9099
17.286,61.947,880.856,4.428,0.713,1.8884
17.293,62.175,883.250,4.391,0.768,1.8997
17.116,61.732,883.639,4.334,0.739,1.8654
16.945,62.062,,4.245,0.802,1.8496
16.627,61.279,924.607,4.301,0.844,1.8333
16.381,62.468,918.457,4.607,0.839,1.8040
16.271,62.236,917.679,4.637,0.880,1.7956
16.515,62.724,911.712,4.823,0.854,1.8145
16.335,62.825,908.914,4.962,0.830,1.8001
16.497,64.066,898.234,4.992,0.796,1.8203
16.558,64.711,883.959,4.985,0.814,1.8391
16.702,65.519,883.140,5.072,0.763,1.8426
16.747,64.406,874.782,4.927,0.701,1.8721
16.700,65.988,893.264,4.932,0.705,1.8943
17.095,64.819,904.317,4.612,0.703,1.8923
