p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
11.877,72.251,795.048,3.807,0.711,1.6177
12.029,71.162,810.314,3.906,0.719,1.6044
12.136,72.099,808.338,3.964,0.692,1.6211
12.259,71.711,826.216,4.022,0.643,1.6574
12.381,71.008,807.549,4.189,0.662,1.6482
12.437,70.765,796.077,4.030,0.620,1.6365
12.397,69.093,782.430,4.139,0.553,1.6531
12.159,68.510,769.811,3.861,0.570,1.6280
12.069,69.527,772.553,3.687,0.553,1.6193
12.225,67.647,763.221,3.510,0.557,1.5802
11.797,68.133,785.184,3.572,0.611,1.5538
11.657,67.633,797.095,3.386,0.637,1.5529
11.659,67.929,796.453,3.450,0.681,1.5385
11.473,68.313,821.634,3.464,0.706,1.4947
11.146,68.099,823.135,3.657,0.732,1.4825
11.316,69.092,807.797,3.821,0.700,1.4954
11.301,69.009,813.399,3.947,0.696,1.4806
11.237,69.685,802.248,4.026,0.707,1.5049
11.038,71.105,777.846,4.142,0.654,1.4983
11.153,70.759,782.045,4.242,0.679,1.5175
11.421,71.189,761.900,4.200,0.613,1.5184
11.244,71.316,781.598,4.098,0.584,1.5389
11.655,72.085,774.466,3.972,0.553,1.5639
11.657,71.340,790.746,3.695,0.559,1.5933
