p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
9.939,70.728,711.255,2.834,0.546,1.3220
10.077,70.316,713.508,2.955,0.507,1.3705
9.995,70.054,737.591,3.015,0.493,1.3909
10.040,70.739,725.835,3.041,0.472,1.3721
10.397,68.961,718.721,3.219,0.439,1.3827
10.257,68.491,722.794,3.117,0.438,1.3875
10.510,68.685,696.777,3.022,0.425,1.3631
10.479,68.717,692.652,2.884,0.411,1.3514
10.282,67.489,688.165,2.750,0.405,1.3352
10.011,67.422,674.837,2.564,0.400,1.3343
9.969,67.757,690.340,2.503,0.420,1.2947
9.962,67.383,704.273,2.522,0.457,1.2778
9.699,66.384,711.524,2.446,0.471,1.2529
9.532,67.230,723.757,2.431,0.532,1.2348
9.554,66.598,724.408,2.675,0.547,1.2416
9.344,67.745,728.149,2.662,0.530,1.2384
9.335,68.719,728.198,3.007,0.543,1.2242
9.233,68.204,714.539,2.955,0.499,1.2482
9.160,69.627,699.522,3.184,0.518,1.2632
9.395,69.902,690.430,3.035,0.491,1.2721
9.268,69.654,687.112,3.084,0.424,1.2577
9.636,70.615,683.819,2.970,0.413,1.2796
9.737,70.270,693.407,2.901,0.379,1.3290
9.911,70.908,699.699,2.693,0.359,1.3459
