p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
17.596,65.926,947.234,5.048,0.965,2.0288
17.645,65.071,950.634,5.313,0.949,2.0454
17.978,64.866,964.274,5.413,0.898,2.0742
17.770,64.194,966.315,5.374,0.899,2.0633
18.176,64.561,967.578,5.432,0.880,2.0767
18.138,63.467,947.085,5.444,0.803,2.0725
18.037,62.535,933.411,5.466,0.790,2.0469
18.258,62.572,922.611,5.205,0.801,2.0646
17.918,62.897,908.138,5.180,0.797,2.0174
18.001,62.580,906.219,5.040,0.790,2.0231
17.755,61.462,926.089,4.828,0.820,1.9816
17.758,62.020,934.145,4.849,0.866,1.9657
17.478,60.819,943.136,4.735,0.881,1.9487
17.334,60.837,948.529,4.841,0.937,1.9501
17.004,62.195,956.427,4.894,0.914,1.9075
16.870,62.771,960.362,5.000,0.946,1.9216
16.944,62.921,956.781,5.345,0.939,1.8945
17.084,62.554,947.858,5.263,0.919,1.9236
16.804,63.326,920.793,5.523,0.903,1.9191
16.933,64.047,927.789,5.539,0.858,1.9249
16.921,65.126,918.280,5.371,0.813,1.9433
17.340,64.742,911.966,5.474,0.824,1.9900
17.249,65.643,931.986,5.247,0.763,2.0163
17.670,65.377,933.449,5.207,0.803,2.0090
