p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
12.899,67.731,788.852,3.543,0.665,1.5787
13.096,67.383,783.666,3.587,0.635,1.5625
13.174,67.774,797.241,3.711,0.634,1.6012
13.447,67.200,801.413,3.772,0.596,1.6238
13.552,66.124,808.734,3.895,0.587,1.5901
13.751,66.634,788.276,3.838,0.572,1.5944
13.802,64.948,778.674,3.861,0.542,1.6102
13.583,65.264,766.854,3.675,,1.5839
13.341,64.319,762.930,3.483,0.483,1.5655
13.492,64.327,755.623,3.356,0.535,1.5721
13.334,63.845,760.428,3.352,0.552,1.5290
13.219,63.594,774.031,3.249,0.536,1.5025
12.931,63.722,792.582,3.181,0.619,1.5063
12.977,63.840,792.890,3.200,0.632,1.4700
12.591,64.192,795.251,3.283,0.673,1.4495
12.466,64.396,794.367,3.591,0.656,1.4477
12.457,65.564,801.825,3.570,0.676,1.4520
12.418,65.366,792.456,3.822,0.650,1.4466
12.503,65.189,779.817,3.772,0.626,1.4557
12.364,65.996,769.361,3.894,0.575,1.4807
12.492,67.161,746.652,3.895,0.580,1.4782
12.590,67.608,752.967,3.824,0.536,1.5150
13.051,66.952,760.289,3.573,0.533,1.5325
13.067,67.578,771.372,3.646,0.522,1.5753
