p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
14.804,71.389,858.460,4.038,0.805,1.8095
15.105,71.068,877.336,4.164,0.794,1.8237
15.359,71.713,883.414,4.287,0.809,1.8453
15.303,70.622,882.514,4.396,0.723,1.8631
15.469,70.171,868.460,4.442,0.723,1.8567
15.615,69.872,861.047,4.297,0.671,1.8453
15.256,69.689,859.139,4.332,0.635,1.8427
15.235,68.971,841.092,4.247,0.664,1.8324
15.536,68.441,837.274,3.976,0.633,1.8142
15.193,68.875,828.727,3.874,0.661,1.8101
15.041,67.990,838.086,3.743,0.701,1.7643
14.928,67.180,849.755,3.682,0.681,1.7559
14.887,68.332,858.889,3.670,0.767,1.7127
14.430,68.167,875.049,3.795,0.750,1.7209
14.325,68.295,891.704,3.861,0.809,1.6879
14.468,68.972,881.199,3.950,0.815,1.6758
14.283,69.222,865.943,4.222,0.822,1.6744
14.165,69.632,854.478,4.365,0.766,1.7010
14.118,70.007,854.401,4.332,0.733,1.6865
14.254,70.864,828.203,4.528,0.744,1.7255
14.446,71.246,827.234,4.473,0.692,1.7357
14.546,71.474,832.000,4.219,0.653,1.7464
14.806,71.377,845.533,4.265,0.625,1.7613
14.682,71.357,851.148,4.014,0.671,1.8206
