p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
13.624,70.689,830.290,3.909,0.728,1.7103
13.872,69.745,839.740,4.000,0.716,1.7135
14.203,69.766,861.151,4.117,0.710,1.7356
14.400,69.796,861.916,4.242,0.677,1.7445
14.360,68.185,863.940,4.356,0.674,1.7598
14.344,68.814,852.834,4.217,0.662,1.7592
14.404,67.043,832.157,4.213,0.588,1.7362
14.492,66.454,812.823,4.078,,1.7467
14.245,66.641,802.736,3.941,0.591,1.7275
14.247,66.442,815.564,3.704,0.595,1.6828
13.872,65.738,813.183,3.675,0.611,1.6975
13.776,66.003,835.826,3.583,0.662,1.6426
13.722,65.194,840.397,3.528,0.701,1.6534
13.618,65.578,848.457,3.692,0.721,1.6354
13.537,65.604,852.448,3.774,0.709,1.6227
13.272,66.238,854.958,3.918,0.776,1.6199
13.270,67.130,841.268,3.869,0.758,1.5976
13.390,68.033,835.846,4.013,0.703,1.6103
13.379,67.985,815.771,4.102,0.727,1.6339
13.157,68.472,819.731,4.249,0.651,1.6335
13.530,69.411,814.507,4.212,0.645,1.6280
13.597,70.025,810.401,4.157,0.603,1.6540
13.652,69.934,823.447,3.948,0.603,1.7015
13.811,69.964,835.161,3.895,0.598,1.6959
