p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
12.586,65.940,790.039,3.829,0.670,1.5888
12.875,66.000,813.357,3.889,0.655,1.5979
12.807,65.347,815.879,4.166,0.660,1.6329
12.940,64.774,826.307,4.269,0.636,1.6315
12.943,65.110,810.002,4.240,0.595,1.6221
13.245,63.921,808.489,4.059,0.546,1.6166
13.198,63.068,791.769,4.146,0.546,1.6016
13.268,62.511,782.000,3.929,,1.5922
13.080,62.038,773.390,3.821,0.529,1.6052
12.748,61.486,774.588,3.547,0.558,1.5790
12.924,61.443,786.137,3.446,0.554,1.5379
12.701,61.796,793.085,3.520,0.606,1.5163
12.450,61.745,811.375,3.400,0.609,1.5038
12.263,61.074,812.817,3.566,0.639,1.4775
12.249,61.688,821.018,3.664,0.685,1.4838
11.904,62.814,822.136,3.909,0.683,1.4794
12.158,63.708,807.521,3.961,0.671,1.4712
12.149,63.230,791.998,4.076,0.668,1.4796
11.960,63.495,788.228,4.201,0.671,1.4643
11.827,64.721,767.934,4.273,0.628,1.5189
12.077,64.699,772.267,4.203,0.549,1.5055
12.151,65.773,769.958,4.097,0.540,1.5186
12.462,65.272,787.498,4.007,0.503,1.5471
12.482,65.341,799.449,3.940,0.543,1.5870
