p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
16.795,65.038,889.103,4.458,0.814,1.8663
17.049,65.286,910.094,4.658,0.805,1.8846
17.200,65.516,902.019,4.818,0.793,1.9039
17.181,65.245,904.009,4.924,0.790,1.9450
17.148,64.998,917.357,4.817,0.738,1.9280
17.523,63.723,896.034,4.696,0.731,1.9265
17.265,64.091,876.013,4.677,0.691,1.9257
17.429,62.919,876.160,4.614,0.707,1.9031
17.288,62.756,866.676,4.421,0.673,1.9079
17.108,62.486,867.289,4.291,0.695,1.8776
17.016,61.646,867.020,4.308,0.734,1.8667
16.905,62.017,890.096,4.203,0.722,1.8433
16.877,61.248,903.405,4.263,0.800,1.8200
16.619,61.967,911.768,4.112,0.815,1.7759
16.248,62.455,906.177,4.270,0.853,1.7790
16.394,62.358,902.757,4.381,0.857,1.7784
16.224,62.947,906.236,4.537,0.819,1.7707
16.311,63.090,900.426,4.646,0.836,1.7817
16.109,64.565,869.871,4.731,0.826,1.7993
16.182,65.099,861.033,4.777,0.782,1.7883
16.419,65.636,853.499,4.770,0.714,1.8261
16.617,66.151,863.037,4.835,0.685,1.8375
16.565,65.835,879.158,4.587,0.706,1.8644
16.701,65.218,896.218,4.437,0.659,1.8733
