p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
11.72,73.58,648.38,2.281,0.387,0.6265
11.77,73.66,647.96,2.320,0.394,0.6279
11.83,73.80,648.86,2.336,0.401,0.6313
11.84,73.90,648.18,2.364,0.408,0.6315
11.88,74.03,649.37,2.391,0.411,0.6346
11.90,74.11,649.11,2.394,0.414,0.6405
11.95,74.19,647.71,2.414,0.419,0.6402
11.96,74.25,644.83,2.442,0.416,0.6429
12.01,74.41,645.96,2.435,0.412,0.6475
12.02,74.43,647.47,2.432,0.403,0.6472
12.04,74.47,749.47,2.461,0.394,0.6501
12.08,74.46,845.64,4.592,0.397,0.6528
12.11,74.46,929.32,6.458,0.399,0.6541
12.15,74.57,1006.37,8.125,1.033,0.6510
12.19,74.60,1075.75,9.558,1.591,0.6504
12.23,74.55,1138.35,10.839,2.088,0.7211
12.26,74.95,1196.09,11.958,2.530,0.7850
12.29,75.23,1248.65,12.971,2.929,0.8440
12.27,75.53,1292.08,13.825,3.294,0.8968
12.29,75.84,1332.15,14.608,3.610,0.9519
12.35,76.16,1368.94,15.266,3.890,0.9998
12.39,76.24,1400.30,15.860,4.147,1.0460
12.40,76.32,1428.12,16.364,4.369,1.0866
12.42,76.39,1455.45,16.836,4.578,1.1204
12.44,76.51,1479.38,17.238,4.763,1.1509
12.47,76.61,1503.05,17.590,4.928,1.1815
12.52,76.74,1520.23,17.872,5.065,1.2101
12.52,76.85,1535.70,18.131,5.188,1.2343
12.52,77.09,1551.82,18.381,5.302,1.2596
12.54,77.26,1563.62,18.577,5.399,1.2800
12.54,77.31,1577.49,18.768,5.489,1.2957
12.55,77.47,1588.85,18.889,5.573,1.3081
12.58,77.68,1597.49,18.994,5.643,1.3255
12.58,77.87,1604.63,19.118,5.707,1.3373
12.56,77.97,1615.49,19.203,5.768,1.3473
12.58,78.05,1621.76,19.283,5.830,1.3586
12.60,78.17,1627.11,19.342,5.874,1.3716
12.62,78.04,1634.05,19.406,5.915,1.3814
12.64,78.00,1637.29,19.460,5.954,1.3872
12.64,78.09,1640.18,19.488,5.987,1.3958
12.62,78.15,1645.11,19.544,6.021,1.4038
12.58,78.11,1647.81,19.597,6.051,1.4102
12.57,78.07,1653.72,19.626,6.080,1.4144
12.57,78.07,1656.79,19.671,6.107,1.4178
12.53,78.08,1658.33,19.719,6.127,1.4220
12.52,78.04,1659.58,19.739,6.156,1.4227
12.52,78.00,1662.93,19.740,6.181,1.4301
12.51,78.03,1665.73,19.749,6.200,1.4308
12.49,77.89,1666.30,19.800,6.213,1.4327
12.47,77.82,1671.39,19.819,6.227,1.4381
12.45,77.71,1675.60,19.859,6.242,1.4394
12.42,77.73,1675.80,19.885,6.261,1.4414
12.39,77.68,1676.54,19.891,6.284,1.4427
12.38,77.63,1678.53,19.924,6.291,1.4480
12.37,77.65,1681.87,19.942,6.305,1.4549
12.34,77.65,1683.86,19.996,6.324,1.4621
12.31,77.63,1686.47,20.007,6.339,1.4637
12.28,77.53,1690.69,20.055,6.343,1.4644
12.28,77.53,1692.87,20.102,6.358,1.4703
12.26,77.39,1694.62,20.113,6.366,1.4729
12.21,77.23,1697.31,20.119,6.379,1.4786
12.17,77.23,1697.89,20.131,6.385,1.4806
12.14,77.20,1697.32,20.154,6.391,1.4823
12.14,77.04,1697.74,20.189,6.399,1.4848
12.11,76.95,1697.98,20.216,6.403,1.4877
12.08,76.89,1700.13,20.225,6.399,1.4920
12.08,76.79,1704.31,20.270,6.401,1.4975
12.06,76.74,1706.84,20.306,6.405,1.5001
12.07,76.57,1711.23,20.313,6.399,1.5065
12.04,76.62,1715.18,20.330,6.401,1.5073
12.02,76.42,1716.81,20.338,6.397,1.5150
11.98,76.44,1719.04,20.336,6.390,1.5178
